raw_time,text_content
2022-02-06T00:14:04.000Z,MMDA ALERT: Vehicular accident at Mabini Bridge SB involving Motorcycle and Bicycle as of 8:00 AM. 1 occupied. MMDA on site. #mmda
2022-02-05T06:46:16.000Z,MMDA ALERT: Vehicular accident at C5 Katipunan after Tuazon NB involving motorcycle and ELF as of 2:39 PM 1 lane occupied. MMDA on site. #mmda
2022-02-05T02:39:15.000Z,MMDA ALERT: Vehicular accident at Commonwealth Winston EB involving car and pedestrian as of 10:33 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-05T01:05:17.000Z,MMDA ALERT: Vehicular accident at Timog Sct Tuazon WB involving motorcycle and pick-up as of 9:00 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-04T23:37:59.000Z,MMDA ALERT: Vehicular accident at Ortigas Connecticut WB involving motorcycle and SUV as of 7:34 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-04T23:16:20.000Z,MMDA ALERT: Vehicular accident at E. Rodriguez Banawe EB involving motorcycle and SUV as of 7:10 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-04T22:57:05.000Z,MMDA ALERT: Vehicular accident at Commonwealth Sandigan WB involving motorcycle and bike as of 6:45 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-04T14:38:44.000Z,MMDA ALERT: Vehicular accident at UP Town NB involving Car and Motorcycle as of 10:29 PM. 1 lane occupied. Assisted by MMDA. #mmda
2022-02-04T10:44:25.000Z,MMDA ALERT: Vehicular accident at Quirino Guanzon NB involving car and SUV as of 6:37 PM 1 lane occupied. MMDA on site. #mmda
2022-02-04T10:39:07.000Z,MMDA ALERT: Vehicular accident at Commonwealth Tandang Sora EB involving 3 SUV and car as of 6:21 PM 2 lanes occupied. MMDA on site. #mmda
2022-02-04T10:30:30.000Z,MMDA ALERT: Vehicular accident at C5 Palar NB involving 2 motorcycle as of 6:22 PM 1 lane occupied MMDA on site. #mmda
2022-02-05T01:05:17.000Z,MMDA ALERT: Vehicular accident at Timog Sct Tuazon WB involving motorcycle and pick-up as of 9:00 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-04T23:37:59.000Z,MMDA ALERT: Vehicular accident at Ortigas Connecticut WB involving motorcycle and SUV as of 7:34 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-04T23:16:20.000Z,MMDA ALERT: Vehicular accident at E. Rodriguez Banawe EB involving motorcycle and SUV as of 7:10 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-04T22:57:05.000Z,MMDA ALERT: Vehicular accident at Commonwealth Sandigan WB involving motorcycle and bike as of 6:45 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-04T14:38:44.000Z,MMDA ALERT: Vehicular accident at UP Town NB involving Car and Motorcycle as of 10:29 PM. 1 lane occupied. Assisted by MMDA. #mmda
2022-02-04T10:44:25.000Z,MMDA ALERT: Vehicular accident at Quirino Guanzon NB involving car and SUV as of 6:37 PM 1 lane occupied. MMDA on site. #mmda
2022-02-04T10:39:07.000Z,MMDA ALERT: Vehicular accident at Commonwealth Tandang Sora EB involving 3 SUV and car as of 6:21 PM 2 lanes occupied. MMDA on site. #mmda
2022-02-04T10:30:30.000Z,MMDA ALERT: Vehicular accident at C5 Palar NB involving 2 motorcycle as of 6:22 PM 1 lane occupied MMDA on site. #mmda
2022-02-04T07:24:40.000Z,MMDA ALERT: Vehicular accident at C5 Libis SB involving SUV and car as of 3:10 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-04T04:11:00.000Z,MMDA ALERT: Vehicular accident at Quezon Ave. Sct. Reyes EB involving Van and PUJ as of 11:55 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-04T01:23:23.000Z,MMDA ALERT: Vehicular accident at Roxas Katigbak NB involving car and truck as of 9:07 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-04T01:07:23.000Z,MMDA ALERT: Vehicular accident at C5 SM Aura NB involving motorcycle as of 9:00 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-04T00:46:04.000Z,MMDA ALERT: Vehicular accident at Commonwealth Don Antonio WB involving motorcycle and truck as of 8:37 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-04T00:30:05.000Z,MMDA ALERT: Vehicular accident at EDSA Shaw tunnel NB involving motorcycle and pick-up as of 8:25 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T23:51:55.000Z,MMDA ALERT: Vehicular accident at Quezon Ave Sct. Albano EB involving car and SUV as of 7:49 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T23:51:12.000Z,MMDA ALERT: Vehicular accident at Mindanao Sauyo SB involving Motorcycle and pedestrian as of 7:45 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T23:49:51.000Z,MMDA ALERT: Vehicular accident at EDSA Aurora tunnel NB involving motorcycle and car as of 7:43 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T15:09:43.000Z,MMDA ALERT: Vehicular accident at C5 SM Aurora SB involving Truck ang van as of 11:04 PM. 1 lane occupied. Assisted by MMDA. #mmda
2022-02-03T08:13:11.000Z,MMDA ALERT: Vehicular accident at C5 C.P. Garcia SB involving truck and car as of 4:06 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T07:41:49.000Z,MMDA ALERT: Vehicular accident at C5 Mckinley SB involving closed van and elf truck as of 3:36 PM. 1ane occupied. MMDA on site. #mmda
2022-02-03T04:09:29.000Z,MMDA ALERT: Vehicular accident at Katipunan UP Town SB involving Motorcycle and Closed van as of 12:01 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T03:53:27.000Z,MMDA ALERT: Vehicular accident at C5 SM Aura SB involving motorcycle as of 11:42 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T02:23:22.000Z,MMDA ALERT: Vehicular accident at Quezon Ave Araneta WB involving SUV and car as of 10:18 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T01:31:53.000Z,MMDA ALERT: Vehicular accident at Mabini bridge SB involving SUV and car as of 9:21 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T01:30:56.000Z,MMDA ALERT: Vehicular accident at Quezon Ave West Ave WB involving SUV and pick-up as of 9:27 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T00:41:04.000Z,MMDA ALERT: Vehicular accident at Ortigas ADB EB involving 2 motorcycles as of 8:33 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T04:09:29.000Z,MMDA ALERT: Vehicular accident at Katipunan UP Town SB involving Motorcycle and Closed van as of 12:01 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T03:53:27.000Z,MMDA ALERT: Vehicular accident at C5 SM Aura SB involving motorcycle as of 11:42 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T02:23:22.000Z,MMDA ALERT: Vehicular accident at Quezon Ave Araneta WB involving SUV and car as of 10:18 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T01:31:53.000Z,MMDA ALERT: Vehicular accident at Mabini bridge SB involving SUV and car as of 9:21 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T01:30:56.000Z,MMDA ALERT: Vehicular accident at Quezon Ave West Ave WB involving SUV and pick-up as of 9:27 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-03T00:41:04.000Z,MMDA ALERT: Vehicular accident at Ortigas ADB EB involving 2 motorcycles as of 8:33 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-02T23:12:25.000Z,MMDA ALERT: Vehicular accident at Elliptical DAR involving Taxi and Bicycle as of 7:06 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-02T23:12:22.000Z,MMDA ALERT: Vehicular accident at EDSA Ayala Tunnel SB involving Taxi and Motorcycle as of 7:00 AM. 1 lane occupied. MMDA on site. #mmda
2022-02-02T15:15:59.000Z,MMDA ALERT: Vehicular accident at Timog Ave 11th Jamboree EB involving Motorcycle as of 11:01pm PM. 1 lane occupied. Assisted by MMDA. #mmda
2022-02-02T09:53:28.000Z,MMDA ALERT: Vehicular accident at C5 B. Serrano Katipunan SB involving MC and car as of 5:35 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-02T09:16:54.000Z,MMDA ALERT: Vehicular accident at C5 Calle industria NB involving PUJ and MC as of 4:53 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-02T09:12:03.000Z,MMDA ALERT: Vehicular accident at EDSA Shaw NB involving AUV and SUV as of 4:58 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-02T07:36:35.000Z,MMDA ALERT: Vehicular accident at C5 Katipunan NB involving 2 Cars as of 3:23 PM. 1 lane occupied. MMDA on site. #mmda
2022-02-02T07:21:58.000Z,"MMDA ALERT: Vehicular accident at EDSA Ayala intersection NB involving closed van, car and SUV as of 3:00 PM. 1 lane occupied. MMDA on site. #mmda"
